City ID,City,Country,Lat,Lng,Max Temp,Humidty,Cloudiness,Wind Speed,Current Description
79,Puerto Ayora,EC,-0.7393,-90.3518,77.0,95,100,4.0,overcast clouds
80,Bambous Virieux,MU,-20.3428,57.7575,78.8,83,40,11.5,light rain
81,Shelburne,CA,44.0787,-80.2041,46.0,66,96,5.73,overcast clouds
82,Thompson,CA,55.7435,-97.8558,28.4,43,40,18.41,scattered clouds
83,Irece,BR,-11.3042,-41.8558,71.94,75,98,5.99,overcast clouds
84,Nikolskoye,RU,59.7035,30.7861,42.8,65,0,6.71,light rain
85,Rancho Palos Verdes,US,33.7445,-118.387,75.99,26,0,4.0,clear sky
86,Constitucion,CL,-35.3333,-72.4167,54.7,77,13,4.61,few clouds
87,Georgetown,MY,5.4112,100.3354,84.2,89,20,2.3,few clouds
88,Khatanga,RU,71.9667,102.5,-0.54,94,86,9.15,overcast clouds
89,Otjimbingwe,NA,-22.35,16.1333,67.93,64,69,10.0,broken clouds
90,Half Moon Bay,US,37.4636,-122.4286,55.0,87,75,11.5,mist
91,Haines Junction,CA,60.7522,-137.5108,59.0,20,4,5.75,clear sky
92,Lebu,CL,-37.6167,-73.65,55.44,86,67,10.02,broken clouds
93,Saint-Philippe,RE,-21.3585,55.7679,77.0,83,90,11.5,overcast clouds
94,Upernavik,GL,72.7868,-56.1549,3.27,88,100,4.68,overcast clouds
95,Busselton,AU,-33.65,115.3333,64.87,65,100,10.25,overcast clouds
96,Mayo,US,38.8876,-76.5119,57.2,51,1,4.61,clear sky
97,Sisimiut,GL,66.9395,-53.6735,16.86,65,100,14.61,overcast clouds
98,Bathsheba,BB,13.2167,-59.5167,78.8,61,20,20.71,few clouds
99,Kaitangata,NZ,-46.2817,169.8464,64.38,52,27,9.71,scattered clouds
100,Mahibadhoo,MV,3.7833,72.9667,82.99,64,66,8.84,broken clouds
101,Yulara,AU,-25.2406,130.9889,64.4,32,0,12.66,clear sky
102,Aklavik,CA,68.2191,-135.0107,48.2,37,47,8.05,scattered clouds
103,Mount Isa,AU,-20.7333,139.5,80.6,24,5,11.5,clear sky
104,Vardo,NO,70.3705,31.1107,35.89,84,94,17.54,overcast clouds
105,Pangody,RU,65.85,74.4859,-7.96,97,20,10.29,few clouds
106,Fort Nelson,CA,58.8053,-122.7002,51.8,25,20,3.44,few clouds
107,Vilyuysk,RU,63.7553,121.6247,16.32,85,100,6.44,overcast clouds
108,Vao,NC,-22.6667,167.4833,77.41,79,100,11.32,overcast clouds
109,Challapata,BO,-18.9,-66.7667,50.52,24,0,3.78,clear sky
110,Port Elizabeth,ZA,-33.918,25.5701,71.6,35,0,18.41,clear sky
111,Masuguru,TZ,-11.3667,38.4167,65.23,91,6,3.6,clear sky
112,Sao Filipe,CV,14.8961,-24.4956,72.43,71,20,7.96,few clouds
113,Bilibino,RU,68.0546,166.4372,26.73,87,100,16.71,light snow
114,Eureka,US,40.8021,-124.1637,57.99,87,90,5.75,overcast clouds
115,Golden,US,39.7555,-105.2211,55.99,24,75,6.91,broken clouds
116,Bull Savanna,JM,17.8868,-77.5902,74.98,82,59,13.82,broken clouds
117,San Policarpo,PH,12.1791,125.5072,75.63,90,100,29.51,overcast clouds
118,Namatanai,PG,-3.6667,152.4333,86.9,64,95,4.27,overcast clouds
119,Griffith,US,41.5284,-87.4237,57.99,38,40,6.26,scattered clouds
120,Kautokeino,NO,69.0125,23.0412,31.35,93,98,8.21,overcast clouds
121,Gafanha Da Encarnacao,PT,40.6181,-8.733,60.01,80,100,4.0,overcast clouds
122,Atherton,GB,53.5237,-2.4935,46.99,71,51,1.99,broken clouds
123,Auki,SB,-8.7676,160.7034,86.13,66,77,2.44,broken clouds
124,Port Hedland,AU,-20.3167,118.5667,84.2,21,0,11.5,clear sky
125,Mandurah,AU,-32.55,115.7,59.0,79,100,6.26,overcast clouds
126,Suphan Buri,TH,14.4742,100.1222,86.0,66,95,5.91,overcast clouds
127,Save,BJ,8.0425,2.486,79.88,66,100,4.83,overcast clouds
128,Mahanje,TZ,-9.9333,35.3333,57.07,96,19,2.1,few clouds
129,Surt,LY,31.2089,16.5887,61.38,76,78,12.91,broken clouds
130,Seymchan,RU,62.8833,152.4333,26.85,91,54,1.61,broken clouds
131,Longyearbyen,SJ,78.2186,15.6401,28.4,93,90,6.91,light snow
132,Sola,VU,-13.8833,167.55,87.8,79,40,4.61,scattered clouds
133,Colares,PT,38.7992,-9.4469,60.01,81,85,7.16,light rain
134,Ler,SS,8.3018,30.1418,83.41,40,83,2.62,broken clouds
135,Japura,ID,-0.3167,102.35,77.54,89,17,0.89,moderate rain
136,Baykit,RU,61.67,96.37,24.03,90,100,2.55,overcast clouds
137,Padilla,CO,3.2204,-76.3139,69.8,94,75,4.61,broken clouds
138,Bobcaygeon,CA,44.5462,-78.542,51.8,62,20,5.75,few clouds
139,Chuy,UY,-33.6971,-53.4616,62.65,76,5,7.81,clear sky
140,Araouane,ML,18.9048,-3.5265,80.47,10,2,10.6,clear sky
141,Cassilandia,BR,-19.1133,-51.7342,72.63,51,23,5.08,few clouds
142,Itaituba,BR,-4.2761,-55.9836,72.32,99,100,1.77,overcast clouds
143,Cabatuan,PH,10.8794,122.486,83.01,65,100,6.04,overcast clouds
144,Broken Hill,AU,-31.95,141.4333,64.4,42,0,4.61,clear sky
145,Necochea,AR,-38.5473,-58.7368,63.0,90,86,3.0,overcast clouds
146,Katobu,ID,-4.9408,122.5276,82.26,74,74,3.27,broken clouds
147,Ishurdi,BD,24.1333,89.0833,80.89,74,0,11.48,clear sky
148,Narsaq,GL,60.9167,-46.05,28.4,34,90,5.75,overcast clouds
149,Kaseda,JP,31.4167,130.3167,57.2,54,20,2.3,few clouds
150,Stephenville,US,32.2207,-98.2023,62.6,31,1,5.75,clear sky
151,Mangochi,MW,-14.4782,35.2645,62.55,91,24,7.0,few clouds
152,Concepcion Del Oro,MX,24.6333,-101.4167,67.5,15,99,5.23,overcast clouds
153,Chernyshevskiy,RU,63.0128,112.4714,13.59,86,75,1.54,broken clouds
154,Hasaki,JP,35.7333,140.8333,61.0,31,0,20.71,clear sky
155,Kosovska Mitrovica,XK,42.8833,20.8667,41.0,81,75,10.36,broken clouds
156,Saint George,US,37.1041,-113.5841,73.99,8,1,9.22,clear sky
157,East London,ZA,-33.0153,27.9116,74.48,29,0,7.14,clear sky
158,Fortuna,US,40.5982,-124.1573,57.99,87,1,11.5,clear sky
159,Karaton,ID,-6.3424,106.1045,84.0,83,20,4.61,few clouds
160,Polunochnoye,RU,60.8697,60.4153,20.59,84,25,2.93,scattered clouds
161,Kualakapuas,ID,-3.0091,114.3876,78.8,89,48,4.61,scattered clouds
