City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hermanus,ZA,2021-04-17 15:13:09,-34.4187,19.2345,79.0,46,29,3.0
68,Puerto Del Rosario,ES,2021-04-17 15:15:40,28.5004,-13.8627,73.4,60,20,17.27
69,Qaanaaq,GL,2021-04-17 15:15:40,77.484,-69.3632,-3.03,95,99,2.33
70,Beringovskiy,RU,2021-04-17 15:15:41,63.05,179.3167,34.09,93,100,18.75
71,Bethel,US,2021-04-17 15:15:41,41.3712,-73.414,46.0,70,61,8.48
72,Santa Marta,CO,2021-04-17 15:13:24,11.2408,-74.199,86.0,70,100,1.99
73,Saskylakh,RU,2021-04-17 15:15:42,71.9167,114.0833,9.52,94,100,10.98
74,Lebork,PL,2021-04-17 15:15:42,54.5392,17.7501,51.01,71,20,9.22
75,Tuatapere,NZ,2021-04-17 15:15:42,-46.1333,167.6833,51.01,92,100,5.99
76,Constantine,DZ,2021-04-17 15:15:43,36.365,6.6147,51.8,54,75,16.11
77,Tuktoyaktuk,CA,2021-04-17 15:15:43,69.4541,-133.0374,8.6,85,40,4.61
78,Panorama,GR,2021-04-17 15:15:43,40.5878,23.0315,57.0,76,75,5.75
79,Korla,CN,2021-04-17 15:15:43,41.7597,86.1469,66.99,22,56,6.13
80,Bredasdorp,ZA,2021-04-17 15:15:44,-34.5322,20.0403,68.0,60,35,6.91
81,Havre-Saint-Pierre,CA,2021-04-17 15:15:44,50.2334,-63.5986,35.6,69,20,17.27
82,Leshukonskoye,RU,2021-04-17 15:15:44,64.8989,45.7622,37.99,94,100,11.12
83,Amasia,TR,2021-04-17 15:15:45,40.6533,35.8331,60.8,72,75,2.3
84,Dikson,RU,2021-04-17 15:15:45,73.5069,80.5464,-10.86,100,53,4.5
85,Johnstown,US,2021-04-17 15:15:45,40.3267,-78.922,39.0,93,90,8.05
86,Fort Nelson,CA,2021-04-17 15:15:09,58.8053,-122.7002,42.8,61,75,14.97
87,Mount Isa,AU,2021-04-17 15:15:46,-20.7333,139.5,71.6,21,1,18.41
88,Kahului,US,2021-04-17 15:15:46,20.8947,-156.47,64.99,100,75,3.44
89,Syracuse,IT,2021-04-17 15:15:46,37.0881,15.2792,60.8,77,75,9.22
90,Domoni,KM,2021-04-17 15:15:47,-12.2569,44.5319,80.17,84,100,11.3
91,Carutapera,BR,2021-04-17 15:15:47,-1.195,-46.02,84.27,68,91,5.17
92,Padang,ID,2021-04-17 15:15:47,-0.9492,100.3543,77.0,94,20,2.3
93,Sechelt,CA,2021-04-17 15:15:47,49.4664,-123.7694,55.99,66,0,3.44
94,Malacacheta,BR,2021-04-17 15:15:48,-17.8422,-42.0767,78.37,49,1,3.56
95,Thompson,CA,2021-04-17 15:15:48,55.7435,-97.8558,37.4,70,40,11.5
96,Torbay,CA,2021-04-17 15:15:48,47.6666,-52.7314,39.99,81,90,17.27
97,East London,ZA,2021-04-17 15:15:49,-33.0153,27.9116,69.8,64,0,12.66
98,Naze,JP,2021-04-17 15:15:49,28.3667,129.4833,62.89,64,5,19.77
99,Chuy,UY,2021-04-17 15:15:49,-33.6971,-53.4616,72.88,63,42,5.68
100,Pryazha,RU,2021-04-17 15:15:50,61.6926,33.6216,55.4,24,4,6.71
101,Boa Vista,BR,2021-04-17 15:15:50,2.8197,-60.6733,84.2,61,75,16.11
102,Guerrero Negro,MX,2021-04-17 15:13:53,27.9769,-114.0611,60.69,73,14,16.75
103,Rawson,AR,2021-04-17 15:15:32,-43.3002,-65.1023,66.06,41,100,14.63
104,Palmer,US,2021-04-17 15:15:50,42.1584,-72.3287,46.4,61,90,5.75
105,Berlevag,NO,2021-04-17 15:15:51,70.8578,29.0864,35.98,94,100,5.97
106,Coihaique,CL,2021-04-17 15:15:51,-45.5752,-72.0662,50.0,81,75,4.61
107,Hobart,AU,2021-04-17 15:13:58,-42.8794,147.3294,55.99,67,69,13.8
108,Rumonge,BI,2021-04-17 15:15:51,-3.9736,29.4386,74.43,85,82,3.15
109,Cuenca,EC,2021-04-17 15:15:06,-2.8833,-78.9833,62.6,72,75,4.61
110,Sao Filipe,CV,2021-04-17 15:15:52,14.8961,-24.4956,73.15,71,0,13.18
111,Kenai,US,2021-04-17 15:15:52,60.5544,-151.2583,34.0,74,1,6.91
112,Ambulu,ID,2021-04-17 15:15:52,-8.345,113.6058,76.01,87,85,4.16
113,Thinadhoo,MV,2021-04-17 15:15:53,0.5333,72.9333,82.83,63,15,7.16
114,Bambous Virieux,MU,2021-04-17 15:15:53,-20.3428,57.7575,81.0,83,75,1.14
115,Ostrovnoy,RU,2021-04-17 15:15:53,68.0531,39.5131,33.19,74,100,9.8
116,Isla Mujeres,MX,2021-04-17 15:15:54,21.2311,-86.731,84.2,70,75,13.8
117,Vicuna,CL,2021-04-17 15:15:54,-30.0319,-70.7081,60.8,77,90,5.75
118,Te Anau,NZ,2021-04-17 15:15:54,-45.4167,167.7167,49.84,91,100,7.02
119,Khatanga,RU,2021-04-17 15:15:54,71.9667,102.5,3.85,95,100,9.06
120,Geraldton,AU,2021-04-17 15:15:55,-28.7667,114.6,62.6,82,37,8.05
121,Clyde River,CA,2021-04-17 15:15:55,70.4692,-68.5914,6.8,78,1,4.61
122,Paamiut,GL,2021-04-17 15:15:55,61.994,-49.6678,18.59,48,6,9.48
123,Lakota,CI,2021-04-17 15:15:56,5.8528,-5.6883,87.12,56,92,3.8
124,Sur,OM,2021-04-17 15:15:56,22.5667,59.5289,84.27,58,100,2.39
125,Caceres,ES,2021-04-17 15:15:56,39.522,-6.3748,64.08,33,1,6.64
126,Georgetown,MY,2021-04-17 15:15:57,5.4112,100.3354,84.2,79,20,5.75
